#options: 1280x720 fps=25/1 timebase=1/25 bitdepth=8 cabac=0 ref=1 deblock=0:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=0 open_gop=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=2000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:103 out:104 type:b dur:2 cpbdur:2 q:34.33 aq:30.75 tex:42773 mv:28492 misc:3639 imb:856 pmb:1514 smb:1230 d:s ref:0 ;
in:106 out:105 type:P dur:2 cpbdur:2 q:34.47 aq:29.73 tex:78372 mv:31120 misc:3668 imb:2426 pmb:546 smb:628 d:s ref:0 ;
in:105 out:106 type:b dur:2 cpbdur:2 q:34.42 aq:31.65 tex:43074 mv:26235 misc:3539 imb:717 pmb:1487 smb:1396 d:s ref:0 ;
in:108 out:107 type:P dur:2 cpbdur:2 q:34.54 aq:29.82 tex:68312 mv:30178 misc:3662 imb:2221 pmb:640 smb:739 d:s ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:34.50 aq:31.39 tex:35074 mv:23226 misc:3580 imb:635 pmb:1372 smb:1593 d:s ref:0 ;
in:110 out:109 type:P dur:2 cpbdur:2 q:34.59 aq:29.92 tex:69485 mv:30613 misc:3622 imb:2331 pmb:595 smb:674 d:s ref:0 ;
in:109 out:110 type:b dur:2 cpbdur:2 q:34.56 aq:31.52 tex:32856 mv:24387 misc:3565 imb:659 pmb:1435 smb:1506 d:s ref:0 ;
in:112 out:111 type:P dur:2 cpbdur:2 q:34.62 aq:29.96 tex:68872 mv:29423 misc:3625 imb:2146 pmb:639 smb:815 d:s ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:34.61 aq:31.66 tex:31609 mv:23160 misc:3471 imb:574 pmb:1402 smb:1624 d:s ref:0 ;
in:115 out:113 type:P dur:2 cpbdur:2 q:34.66 aq:30.07 tex:68963 mv:28512 misc:3613 imb:2186 pmb:562 smb:852 d:s ref:0 ;
in:113 out:114 type:B dur:2 cpbdur:2 q:34.64 aq:31.25 tex:42688 mv:25322 misc:3542 imb:712 pmb:1436 smb:1452 d:s ref:0 ;
in:114 out:115 type:b dur:2 cpbdur:2 q:34.65 aq:32.19 tex:33625 mv:23395 misc:3252 imb:589 pmb:1247 smb:1764 d:- ref:0 ;
in:117 out:116 type:P dur:2 cpbdur:2 q:34.72 aq:30.24 tex:63750 mv:29547 misc:3663 imb:2174 pmb:667 smb:759 d:s ref:0 ;
in:116 out:117 type:b dur:2 cpbdur:2 q:34.69 aq:31.83 tex:32799 mv:22302 misc:3363 imb:564 pmb:1270 smb:1766 d:s ref:0 ;
in:119 out:118 type:P dur:2 cpbdur:2 q:34.77 aq:28.97 tex:59704 mv:28473 misc:3711 imb:2163 pmb:599 smb:838 d:s ref:0 ;
in:118 out:119 type:b dur:2 cpbdur:2 q:34.74 aq:31.63 tex:31751 mv:21421 misc:3308 imb:610 pmb:1243 smb:1747 d:s ref:0 ;
in:122 out:120 type:P dur:2 cpbdur:2 q:34.78 aq:29.84 tex:63430 mv:30326 misc:3572 imb:2282 pmb:590 smb:728 d:s ref:0 ;
in:120 out:121 type:B dur:2 cpbdur:2 q:34.77 aq:30.93 tex:38282 mv:25062 misc:3504 imb:757 pmb:1358 smb:1485 d:s ref:0 ;
in:121 out:122 type:b dur:2 cpbdur:2 q:34.78 aq:31.77 tex:28167 mv:21533 misc:3412 imb:541 pmb:1319 smb:1740 d:- ref:0 ;
in:124 out:123 type:P dur:2 cpbdur:2 q:34.82 aq:29.56 tex:61473 mv:28237 misc:3610 imb:2100 pmb:589 smb:911 d:s ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:34.80 aq:30.58 tex:32780 mv:23121 misc:3587 imb:644 pmb:1425 smb:1531 d:s ref:0 ;
in:126 out:125 type:P dur:2 cpbdur:2 q:34.82 aq:29.67 tex:62019 mv:28846 misc:3575 imb:2180 pmb:592 smb:828 d:s ref:0 ;
in:125 out:126 type:b dur:2 cpbdur:2 q:34.82 aq:31.08 tex:31030 mv:22899 misc:3519 imb:660 pmb:1401 smb:1539 d:s ref:0 ;
